,created_at,text,retweets,likes
0,2025-04-04 20:12:56+00:00,"Monday Index will hit 10% Circuit 💪

#nifty #stockmarket",0,0
1,2025-04-04 20:12:49+00:00,"The U.S. stock market has lost $9.6 trillion in value since Trump was inaugurated.

#TrumpTariffs #stockmarketcrash #StockMarket #Trump https://t.co/fCaVPi2gAx",0,0
2,2025-04-04 20:12:46+00:00,"$AABB going to be the new flight to safety? If you understand what’s coming next week then you know!!! #RETAIL KNOWS!!!
$HODL $AABB #FAFO #ASIA #Mexico #GOLD #MINING #AABB #nvdia #STOCKSTOWATCH #AMC #GME #BBBYQ #MMTLP #OTC #TSLA #GOLD   #SILVER #StockMarket #CRYPTO #OTC https://t.co/XCkQwFmbSj",0,0
3,2025-04-04 20:12:39+00:00,"SPX just logged its worst back-to-back days in nearly 50 years.

#SPX500 #stockmarket",0,0
4,2025-04-04 20:12:11+00:00,"🚨 BREAKING: The S&amp;P 500 took a massive hit this week, with around $4 trillion in value evaporating! 📉 What does this mean for investors and the economy moving forward? 🧐💰 Let’s discuss! #StockMarket #Economy #Investing #SP500",0,0
5,2025-04-04 20:12:10+00:00,NOT FINANCIAL ADVICE 🚫 Find more by link in bio ⚠️ #btc #bitcoin #crypto #stockmarket #market #trading #trader #eth #xrp #sol #pepe #trump #marketcrash https://t.co/NINCOC3Vn8,0,0
6,2025-04-04 20:11:48+00:00,Nike stock spikes 5% after Vietnamese leader signals willingness to negotiate #StockMarket #Stocks #StockTrading https://t.co/9845tXpu6h,0,0
7,2025-04-04 20:11:47+00:00,"@WatcherGuru And they said #Bideninflation was bad but @realDonaldTrump said hold my golf club 💩
#stockmarketcrash
#Trumpflation 
#TrumpTariffs 
#DonaldTrump 
#TrumpDump 
#stocks
#StockMarket
#MakeAmericaPoorAgain",0,1
8,2025-04-04 20:11:46+00:00,"@unusual_whales 🚨🚨Markets look extremely oversold—14-RSI near historic lows and a 3-sigma Bollinger event. 97.5% probability of a bounce incoming? #StockMarket #Trading #investing 
📉https://t.co/6rru0lp0Pj",0,0
9,2025-04-04 20:11:43+00:00,"The U.S. stock market has lost $10 trillion in value since Trump was inaugurated.
#StockMarket #Crypto #Bitcoin #Investing #Trading #Cryptocurrency #Stocks #Ethereum #Finance #BTC #ETH #WallStreet #CryptoNews #StockPicks #Blockchain #DayTrading #Invest #Altcoin #CryptoTrading https://t.co/0hQ7eBhAaL",0,2
10,2025-04-04 20:11:29+00:00,"#stockmarket When measured by PPP, which adjusts for differences in the cost of living and purchasing power, the U.S. share of global GDP is around 15.5%.  Why should US market cap be 64% .. https://t.co/90vFTgN0FW",0,1
11,2025-04-04 20:11:20+00:00,"The U.S. stock market has lost $9.6 trillion in value since Trump was inaugurated.
#StockMarket #Crypto #Bitcoin #Investing #Trading #Cryptocurrency #Stocks #Ethereum #Finance #BTC #ETH #WallStreet #CryptoNews #StockPicks #Blockchain #DayTrading #Invest #Altcoin #CryptoTrading https://t.co/2bPYDkg2qV",0,0
12,2025-04-04 20:11:15+00:00,"NASDAQ Index, SP500, Dow Jones Forecasts – Stocks Crash As China Strikes Back #StockMarket #Stocks #StockTrading https://t.co/bMmDXHuNe7",0,0
13,2025-04-04 20:11:13+00:00,"📉 #StockMarket Wrap-Up Today:
 🔹 #DOW -5.5%
 🔹 #NASDAQ -5.82%
 🔹 #SP500 -5.97%
 🔶 $NVDA: -6.49%
 🔶 $AAPL: -6.23%
 🔶 $MSFT: -2.6%
 📈 Top Gainers:
 🔺 $NVR: 5.58%
 🔺 $DHI: 5.12%
 🔺 $PHM: 4.62%
 📉 Top Losers:
 🔻 $BKR: -12.95%
 🔻 $APA: -13.55%
 🔻 $GEHC: -14.01% https://t.co/LprYpGnV5t",0,0
14,2025-04-04 20:10:12+00:00,"Feeling uncertain about the recent market ups and downs? 📉 In this vlog, Cynthia Meyer, CFP® and owner of Real Life Planning, breaks down what market volatility really means—and how to stay focused on your long-term goals. #MarketVolatility #FinancialPlanning #StockMarket https://t.co/7G1JLFJkbN",0,0
15,2025-04-04 20:09:35+00:00,"@unusual_whales America voted for @realDonaldTrump and got 💩 on and keeps getting 💩 on 
#stockmarketcrash
#Trumpflation 
#TrumpTariffs 
#DonaldTrump 
#TrumpDump 
#stocks
#StockMarket
#MakeAmericaPoorAgain",0,0
16,2025-04-04 20:09:29+00:00,"Everyone right now

#stocks #stockmarket #trading #investing #daytrading #stockmarketcrash #TrumpTariffs https://t.co/sA1y4DRSQf",0,0
17,2025-04-04 20:09:28+00:00,"Repeating again and again - Believe it or not, Trump is a curse for the world!!

#Trump #stockmarketcrash #StockMarket #nifty #niftycrash #NiftyBank #tariffwar #niftyOptions #SEBI #Tariffs #Nasdaq100 #dowjones https://t.co/msTu6bd7iA https://t.co/ABMNe85GXQ",0,0
18,2025-04-04 20:09:24+00:00,Tariffs are hitting stocks harder than COVID ever did. The market’s fear isn’t a virus—it’s a trade war. 📉💥 #Tariffs #StockMarket #TradeWar https://t.co/Ah8RqIuwIa,0,0
19,2025-04-04 20:09:18+00:00,"If this escalation continues, it may even challenge the viability of entire nations. Trade is, first and foremost, built on relationships of trust—relationships that take time to establish. 👇https://t.co/GP0DUJBLxE
#TradeBalance #StockMarket",0,0
20,2025-04-04 20:08:51+00:00,NFP week final boss #DayTrading #Futures #StockMarket #ForexMarket #crypto #ict #btc #Bitcoin https://t.co/m1XTDQylYQ,0,0
21,2025-04-04 20:08:43+00:00,"lets give a listen what they might be thinking 

#Bitcoin #BTC #Crypto #Blockchain #HODL #Cryptotrading #StockMarket #Stocks #Trading #Investing #Finance #DayTrading #Money #Wealth #Gold #GoldInvesting #PreciousMetals #GoldPrice #Bullion #GoldMarket https://t.co/KUYQCjzJWu",0,2
22,2025-04-04 20:08:36+00:00,"NASDAQ Index, SP500, Dow Jones Forecasts – Stocks Crash As China Strikes Back #StockMarket #Stocks #StockTrading #ETHhttps://https://t.co/PaXJpzYQzR",0,0
23,2025-04-04 20:08:23+00:00,"Stock Market Declines: US stocks saw their biggest drop in 5 years, European stocks in 8 months, and oil in 7 months. However, gold (XAUUSD) and Bitcoin remained stable, with gold at 3103.

#MarketUpdate #USATariffs #GlobalRecession #StockMarket #Commodities #Gold #Bitcoin https://t.co/R1wX5AjiMr",0,1
24,2025-04-04 20:07:46+00:00,"NASDAQ Index, SP500, Dow Jones Forecasts – Stocks Crash As China Strikes Back #StockMarket #Stocks #StockTrading https://t.co/AQj5fsdfjM",0,0
25,2025-04-04 20:07:41+00:00,"@unusual_whales Winning so much you hate winning 💩 
@realDonaldTrump 
#stockmarketcrash
#Trumpflation 
#TrumpTariffs 
#DonaldTrump 
#TrumpDump 
#stocks
#StockMarket
#MakeAmericaPoorAgain",0,0
26,2025-04-04 20:07:25+00:00,At least $SPX can't possibly close down another 5.97% on Monday.   #TimeStamp #StockMarket,0,1
27,2025-04-04 20:07:24+00:00,"#Tariffs Cause Another #StockMarket #Rout—Losses Approach $5 #Trillion As #Dow Plummets Another 2,200 Points - #business #money #Finance #stocks #stockmarketcrash #stockmarkets 

https://t.co/HnnSrhuD0V",0,0
28,2025-04-04 20:07:20+00:00,Markets close down again and FOX is doing this. #FOX #FoxNews #Tariffs #StockMarket #News https://t.co/2GexdnIeOQ,0,0
29,2025-04-04 20:07:20+00:00,"WORST DAY IN THE US STOCK MARKET SINCE 2020

#stockmarketcrash #StockMarket https://t.co/VE3ut326vj",0,2
30,2025-04-04 20:07:12+00:00,This is fun 📉 #stockmarket #commodities https://t.co/DsieeFZKBz,0,0
31,2025-04-04 20:06:48+00:00,"What did I wake up to this morning 😠😭 
#stockmarketcrash 
#StockMarket 
#tariffs https://t.co/fwRxvl31N2",0,0
32,2025-04-04 20:06:29+00:00,"Dow drops 2,200 points Friday, S&amp;P 500 loses 10% in 2 days as Trump’s tariff rout deepens

#US #StockMarket #WallStreet https://t.co/5u7ERhrurf",0,0
33,2025-04-04 20:06:27+00:00,"One of the major contributors to market melt-down:
""Hedge funds hit with steepest margin calls since 2020 Covid crisis""
Part of article in Financial Times.
#StockMarket #Investing #HedgeFunds https://t.co/LlgybdmBg7",0,0
34,2025-04-04 20:06:11+00:00,Nike stock spikes 5% after Vietnamese leader signals willingness to negotiate #StockMarket #Stocks #StockTrading https://t.co/efDiUNbtIo,0,0
35,2025-04-04 20:05:48+00:00,"THE DOW JONES JUST DROPPED BY MORE THAN 1,500 POINTS ON BACK-TO-BACK TRADING DAYS
#StockMarket #Crypto #Bitcoin #Investing #Trading #Cryptocurrency #Stocks #Ethereum #Finance #BTC #ETH #WallStreet #CryptoNews #StockPicks #Blockchain #DayTrading #Invest #Altcoin #CryptoTrading",0,3
36,2025-04-04 20:05:45+00:00,"How does losing 10% in your 401k in the last two days feel?

Winning yet?

#TrumpTariffs #Trump #StockMarket #stockmarketcrash https://t.co/iJxvI4QgRR",0,0
37,2025-04-04 20:05:44+00:00,"🚨 LIBERATION DAY turned into LIQUIDATION WEEK 🔻

$SPY -9.03%
$QQQ -9.75%
$DJI -7.86%
$IWM -9.63%

Markets didn’t correct — they capitulated.
Here’s the final weekly heatmap of the S&amp;P 500 📉🟥
#StockMarket #SP500 #MarketCrash #Heatmap https://t.co/LPEg4wmEdS",0,0
