,created_at,text,retweets,likes
0,2025-04-04 19:57:44+00:00,"Let's see how far #Trump non sense will take us, and more importantly, how much is going to cost us.  Walmart is about to become a luxury store 🤣 
#WarTariffs #Tariffs #TrumpTariffs #Recession #Inflation #StockMarket #USAeconomy #China https://t.co/Hkh4ZqwjRM",0,0
1,2025-04-04 19:57:37+00:00,"SINCE TRUMP TOOK OFFICE, THE U.S. STOCK MARKET HAS LOST $10 TRILLION IN VALUE. 📉

#STOCKMARKET #TRUMP #WALLSTREET #RECESSION #TARIFFS https://t.co/X2OWzwcSkm",0,1
2,2025-04-04 19:57:26+00:00,"📉 Wall Street just had its worst day since 2020!

🔻 Nasdaq -6% | S&amp;P 500 -4.8% | Dow -3.9%
💥 Trump’s new tariffs rattled markets
🍎 Apple &amp; Nvidia shed $470B in value
💵 USD at 6-month low
🛢️ Oil dives on global slowdown fears
#StockMarket #TrumpTariffs #WallStreet #Recession https://t.co/DtQg4dUTWk",0,0
3,2025-04-04 19:56:59+00:00,"Results happen over time, not overnight. Work hard, stay consistent, and be patient. #stockmarket",0,0
4,2025-04-04 19:56:55+00:00,"🚨 Amid Trump’s tariffs, U.S. defense stocks like Lockheed &amp; Northrop may be your smartest move right now.

Here’s why investors are betting big:
👉 https://t.co/ZKOT08u73Q
#DefenseStocks #StockMarket #Tariffs #Investing #LockheedMartin #NorthropGrumman #FinanceNews",0,1
5,2025-04-04 19:56:35+00:00,"@RpsAgainstTrump .-.
TRUMP AND THE STOCK MARKET CRASH

Donald Trump will declare like a clown
The stock market is gonna go down

..he claims that the crash
..will be gone in a flash

And that’s why he’s escaping the town.

#stockmarketcrash #StockMarket #TrumpTariffs #tariffs #TrumpIsUnfit https://t.co/lkHOoIIia7",0,1
6,2025-04-04 19:56:16+00:00,"Coincidence? I don't think so. In the meantime, he and the billionaires are making more money by selling and re buying at lower prices  
#TrumpScam #TrumpStockMarket #Trump #StockMarket #Tariffs #TariffWar #WarTariffs https://t.co/i8AB0MVA8D",0,0
7,2025-04-04 19:55:46+00:00,Next Friday you’ll be nostalgic about today’s prices in #StockMarket.,1,1
8,2025-04-04 19:55:39+00:00,"Coincidence? I don't think so. In the meantime, he and the billionaires are making more money by selling and re buying at lower prices  
#TrumpScam #TrumpStockMarket #Trump #StockMarket #Tariffs #TariffWar #WarTariffs https://t.co/RBbpfwMyCd",0,0
9,2025-04-04 19:55:30+00:00,lol I was right 😅 #stockmarketcrash #StockMarket #tariffs https://t.co/A53jfrcerP,0,0
