,created_at,text,retweets,likes
0,2025-03-25 00:25:17+00:00,I told you all #TSLA would rally! A 12% ($30) rally during trading hours and another 1.3% ($4) in after-hours. And those #options I bought gained 109%! Not bad. I think it's got legs to keep going! #StockMarket #StocksToBuy #StocksToWatch #Bullish on @Tesla #SPX #SPY https://t.co/8EMdxTN580 https://t.co/eMpJ1EvNbK,0,0
1,2025-03-25 00:22:30+00:00,"🔥 The US stock market soared today, adding $1.5 trillion to its market capitalization! 🚀 Stocks and crypto are delighting investors with green gains—bulls are in control! 🟢
#StockMarket #Crypto https://t.co/pOjaABf1Oy",0,0
2,2025-03-25 00:20:24+00:00,"@Theory_Corps (1999-2002 West Nile Virus) (2003 SARS-CoV) (2006 Mumps) (2009 – H1N1 Virus (Swine Flu) (2012 – Whooping Cough) (2012 – MERS-CoV) (2016 – Zika Virus) for all trial runs by the government to sufficiently disperse covid-19 stockmarket,population control, forced buy businesses",0,0
3,2025-03-25 00:18:48+00:00,"Analysis worked perfectly 🔥❤️

#stockmarket #trading #marketanalysis #education #learnbeforeyouearn https://t.co/ueWPQQ3eu6",0,2
4,2025-03-25 00:18:36+00:00,MSTR STOCK PREDICTION (Strategy Stock Price Action Trading Strategies) B... https://t.co/rdsKSdCoAZ #FINANCE #FINANCIAL #FINANCIALSTOCKS #INVESTING #INVESTMENTS #INVESTMENT #TECH #TECHNOLOGY #STOCK #STOCKS #StockMarket #MSTR $MSTR #STRATEGY #MICROSTRATEGY #SAYLOR #BITCOIN #BTC,0,0
5,2025-03-25 00:17:54+00:00,"RT @Teeka_Tiwari: After a surge in bullish investor sentiment throughout 2024, we’ve seen fear return to the markets. #StockMarket #Investi…",2,0
6,2025-03-25 00:16:53+00:00,"Oh, very interesting news from Rolls-Royce, about potentially moving some of their production to America!

I believe this is a great time to invest in Rolls-Royce 📈📈📈 #StockMarket #Investing 

""The Art of The Possible"" is a brilliant line! $RLLCF @RollsRoyce @rollsroycecars",0,0
7,2025-03-25 00:16:38+00:00,RT @Teeka_Tiwari: Imagine it’s 2007. You’re reading a newspaper and see that Apple has launched a new device called the iPhone. #Apple #Tes…,2,0
8,2025-03-25 00:16:29+00:00,Love me some $MYNZ! This healthcare diagnostic stock is up 59.5% - not bad for a Monday! Gonna add a few more shares. #StockMarket #Investing #Healthcare #BusinessOwner,0,0
9,2025-03-25 00:15:40+00:00,"RT @Teeka_Tiwari: If you’re looking to make (and keep) a fortune during these market pullbacks, you must focus the bulk of your capital on…",3,0
